Date,Open,High,Low,Close,Adj Close,Volume
2021-10-07,37.599998,38.369999,36.928001,37.340000,37.340000,962400
2021-10-08,37.299999,37.689999,35.709999,35.840000,35.840000,905000
2021-10-11,37.180000,37.180000,35.139999,35.330002,35.330002,693200
2021-10-12,35.680000,37.029999,35.680000,36.799999,36.799999,866500
2021-10-13,37.000000,37.230000,36.369999,36.770000,36.770000,1347700
2021-10-14,37.000000,37.549999,36.709999,36.980000,36.980000,1085800
2021-10-15,37.000000,37.424000,35.820000,36.330002,36.330002,1111300
2021-10-18,35.980000,36.130001,34.610001,36.020000,36.020000,1149700
2021-10-19,36.000000,37.040001,35.849998,36.889999,36.889999,864000
2021-10-20,37.230000,37.500000,35.889999,35.980000,35.980000,669300
2021-10-21,36.099998,37.900002,35.709999,37.520000,37.520000,721800
2021-10-22,37.130001,37.680000,36.310001,37.000000,37.000000,795700
2021-10-25,36.910000,38.750000,36.840000,37.240002,37.240002,1148200
2021-10-26,37.340000,37.669998,35.200001,35.650002,35.650002,756200
2021-10-27,35.660000,35.840000,32.650002,32.750000,32.750000,1673900
2021-10-28,33.250000,34.430000,32.750999,33.150002,33.150002,1881500
2021-10-29,32.950001,34.119999,32.950001,33.610001,33.610001,879700
2021-11-01,33.770000,34.549999,33.709999,34.520000,34.520000,1236000
2021-11-02,34.549999,34.810001,33.750000,34.310001,34.310001,1226000
2021-11-03,35.060001,42.310001,34.814999,42.270000,42.270000,4382900
2021-11-04,40.680000,43.090000,40.099998,41.759998,41.759998,2088100
2021-11-05,41.750000,43.480000,41.560001,42.820000,42.820000,1183900
2021-11-08,42.779999,42.799999,39.270000,40.130001,40.130001,1199700
2021-11-09,39.990002,40.889999,39.689999,40.180000,40.180000,1454600
2021-11-10,40.099998,40.790001,38.450001,38.980000,38.980000,2712500
2021-11-11,36.250000,36.500000,31.000000,34.099998,34.099998,8904400
2021-11-12,34.250000,35.099998,34.000000,34.959999,34.959999,2405700
2021-11-15,34.910000,35.200001,33.480000,33.720001,33.720001,2804600
2021-11-16,33.700001,34.709999,33.250000,34.000000,34.000000,5045100
2021-11-17,34.080002,34.250000,32.250000,32.250000,32.250000,2201200
2021-11-18,32.369999,32.505001,30.480000,30.719999,30.719999,2990200
2021-11-19,30.799999,32.380001,30.683001,31.950001,31.950001,1706100
2021-11-22,32.389999,33.520000,32.056000,32.849998,32.849998,2978900
2021-11-23,32.389999,33.270000,29.910000,30.700001,30.700001,2393300
2021-11-24,30.420000,32.980000,30.270000,32.959999,32.959999,1929800
2021-11-26,32.740002,33.959999,32.610001,32.779999,32.779999,1490900
2021-11-29,32.910000,33.764999,31.940001,33.459999,33.459999,2163300
2021-11-30,33.250000,33.500000,32.200001,33.240002,33.240002,1890200
2021-12-01,33.220001,33.500000,30.860001,30.889999,30.889999,1722400
2021-12-02,30.610001,32.250000,29.820000,32.220001,32.220001,1679200
2021-12-03,32.160000,32.320000,29.170000,30.020000,30.020000,2227100
2021-12-06,30.139999,31.820000,29.030001,31.260000,31.260000,2584900
2021-12-07,32.259998,33.830002,31.940001,33.310001,33.310001,2869700
2021-12-08,33.459999,34.480000,31.690001,33.720001,33.720001,2281900
2021-12-09,33.330002,34.549999,31.150000,31.219999,31.219999,2105300
2021-12-10,30.330000,30.330000,24.209999,24.650000,24.650000,15538100
2021-12-13,25.920000,26.099001,24.850000,25.740000,25.740000,5329900
2021-12-14,24.969999,25.820000,24.459999,25.129999,25.129999,2754700
2021-12-15,25.100000,25.469999,23.730000,25.030001,25.030001,3967100
2021-12-16,25.080000,25.480000,22.430000,22.940001,22.940001,4392500
